what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094060970
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094061139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094061184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094064199
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094069601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094069695
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094069728
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1459094071354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094071383
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094076749
started,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1459094080011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094104555
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1459094106526
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094115066
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094124834
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094124952
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094125003
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094125136
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094125172
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459094130670
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094133239
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459094133253
error,log,,,"A program file was not specified in the launch configuration.",1459094135182
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094135311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094139023
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094140124
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094140175
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094140175
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094141003
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094141003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094144755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094155403
error,log,,,"A program file was not specified in the launch configuration.",1459094161186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094161294
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094163971
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459094166374
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094168164
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459094168181
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094168952
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094168993
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1459094169010
error,log,,,"A program file was not specified in the launch configuration.",1459094170922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094170978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1459094172232
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094173557
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1459094173600
